#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,ansible,"Manage your servers"
,arandr,"is a UI for screen adjustment."
,atool,"manages and gives information about archives."
,bc,"is used for a dropdown calculator."
,calcurse,"is a lightweight terminal-based calendar."
,calibre,"Manage your ebook reader"
,cryptsetup,"helper for encryption"
,ctags,"Generate tags"
,cups,"Printers are always a pain!"
,cups-pdf,"Print to pdf with cups"
,docker,"docker"
,docker-compose,"compose docker like a star"
,dosfstools,"allows your computer to access dos-like filesystems."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,ffmpeg,"can record and splice video and audio on the command line."
,firefox,"is the only program on LARBS your girlfriend has ever heard of."
,flameshot,"make professional screenshots"
,fortune-mod,"simple program that displays random poignant, inspirational, silly or snide phrase from a database of quotations"
,fzf,"is a fuzzy finder tool."
,gnome-keyring,"serves as the system keyring."
,gvim,"Gvim instead of vim because of clipboard pasing functionality"
,hcloud,"hetzner cloud server manager"
,highlight,"can highlight code output."
,i3-gaps,"is the main graphical user interface and window manager."
,i3blocks,"is the status bar."
,i3lock,"is the screen lock."
,imagemagick,"is a terminal image-manipulator providing some convenient shortcuts and the lockscreen in LARBS."
,libnotify,"allows desktop notifications."
,maim,"can take quick screenshots at your request."
,mediainfo,"shows audio and video information and is used by vifm as well."
,mpc,"is a terminal interface for mpd."
,mpd,"is a lightweight music daemon."
,mpv,"is the patrician's choice video/gif player."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,networkmanager,"does exactly what it sounds like."
,newsboat,"is a terminal RSS client."
,npm,"you know it"
,ntfs-3g,"allows accessing NTFS partitions."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,postgresql-lib,"Contains psql which helps to work with postgres databases"
,pulseaudio,"is the audio system (>inb4 bloat)."
,pulseaudio-alsa,"is an audio interface with ALSA."
,pulsemixer,"is an intuitive ncurses audio controller."
,python-pip,"Python package manager"
,ranger,"is an extensive terminal file manager that everyone likes."
,socat,"is a socket utility."
,sxiv,"is a minimalist image viewer."
,syncthing,"sync like a master"
,the_silver_searcher,"Contains ag which i use for fzf"
,tmux,"is a terminal multiplexer and the dropdown window in LARBS."
,ttf-inconsolata,"is the monospace font of LARBS."
,ttf-linux-libertine,"provides the sans and serif fonts for LARBS."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,vifm,"is an extensive terminal file manager that everyone likes."
,w3m,"is a terminal browser which can also view images."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xcompmgr,"is for transparency and removing screen-tearing."
,xdotool,"provides window action utilities on the command line."
,xorg-server,"is the graphical server."
,xorg-xbacklight,"enables changing screen brightness levels."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,xorg-xinit,"starts the graphical server."
,xorg-xprop,"is a tool for detecting window properties."
,xorg-xwininfo,"allows querying information about windows."
,xwallpaper,"sets the wallpaper."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,yq,"Command-line YAML processor - jq wrapper for YAML documents"
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-djvu,"gives zathura the ability to read .djvu files."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
A,direnv,"awesome for setting environment variables while coding"
A,nord-vpn,"secure your internet connection"
A,dockd,"Used for dock and undock events for my thinkpad Dockingstation"
A,fish,"fish"
A,fisher,"fisher"
A,git-secret,"savely handle passwords in git"
A,gnupg,"helper for gpg"
A,google-chrome,"you know it"
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
A,htop-vim-git,"provides system usage information and displays processes."
A,jq,"jq is a lightweight and flexible command-line JSON processor."
A,k9s-bin,"kubernetes with style"
A,kubectl-bin,"Kubernetes Cluster Manager kubectl-bin"
A,nodejs,"you know it"
A,ruby,"you know it"
A,sc-im,"is an Excel-like terminal spreadsheet manager."
A,shellcheck,"a linter for vim which lintes bash"
A,simple-mtpfs,"enables the mounting of cell phones."
A,standardnotes-desktop,""
A,task-spooler,"queues commands or files for download."
A,tmuxp,"tmux helper"
A,ttf-emojione,"is a package that gives the system unicode symbols and emojis used in the status bar and elsewhere."
A,ttf-symbola,"provides unicode and emoji symbols."
A,unclutter-xfixes-git,"hides an inactive mouse."
A,urlscan,"parses URLs in the terminal allowing keyboard-based selection."
A,virtualbox-bin,"you know"
A,xurls,"allows a user to select urls in the terminal via the keyboard."
A,yarn,"you know it"
G,https://github.com/divramod/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/divramod/st.git,"Divramods custom build of suckless's terminal emulator."
N,standard,"Lint javascript files."
N,mocha,"Nodejs testing framework."
